"","waypoint","site","camera","habitat","canopy_cov","elev_m.x","sui_top","sui_bottom","lon","lat","face_num","face_dir","camera angle","incline parallel","incline perpendicular","distance to quadrat_cm","deploy date","removal date","notes","aji_note","elev_m.y","Achillea_millefolium.x","Alchemilla_conjuncta.x","Alchemilla_xanthochlora.x","Anthyllis_vulneraria.x","Bellis_perennis.x","Campanula_scheuchzeri.x","Carlina_acaulis.x","Crocus_albiflorus.x","Euphrasia_minima.x","Gentianella_sp.x","Helianthemum_nummularium.x","Hepatica_nobilis.x","Hippocrepis_comosa.x","Leontodon_hispidus.x","Lotus_alpinus.x","Lotus_sp.x","Pedicularis_verticillata.x","Plantago_lanceolata.x","Plantago_media.x","Potentilla_aurea.x","Primula_sp.x","Ranunculus_montanus.x","Salvia_pratensis.x","Silene_vulgaris.x","Soldanella_alpina.x","Taraxacum_officinale.x","Trifolium_badium.x","Trifolium_montanum.x","Trifolium_pratense.x","Trollius_europaeus.x","Viola_biflora.x","Viola_calcarata.x","Viola_sp.x","elev_m.x.x","Achillea_millefolium.y","Alchemilla_conjuncta.y","Alchemilla_xanthochlora.y","Anthyllis_vulneraria.y","Bellis_perennis.y","Campanula_scheuchzeri.y","Carlina_acaulis.y","Crocus_albiflorus.y","Euphrasia_minima.y","Gentianella_sp.y","Helianthemum_nummularium.y","Hepatica_nobilis.y","Hippocrepis_comosa.y","Leontodon_hispidus.y","Lotus_alpinus.y","Lotus_sp.y","Pedicularis_verticillata.y","Plantago_lanceolata.y","Plantago_media.y","Potentilla_aurea.y","Primula_sp.y","Ranunculus_montanus.y","Salvia_pratensis.y","Silene_vulgaris.y","Soldanella_alpina.y","Taraxacum_officinale.y","Trifolium_badium.y","Trifolium_montanum.y","Trifolium_pratense.y","Trollius_europaeus.y","Viola_biflora.y","Viola_calcarata.y","Viola_sp.y","elev_m.y.y","Achillea_millefolium.x.x","Alchemilla_conjuncta.x.x","Alchemilla_xanthochlora.x.x","Anthyllis_vulneraria.x.x","Bellis_perennis.x.x","Campanula_scheuchzeri.x.x","Carlina_acaulis.x.x","Crocus_albiflorus.x.x","Euphrasia_minima.x.x","Gentianella_sp.x.x","Helianthemum_nummularium.x.x","Hepatica_nobilis.x.x","Hippocrepis_comosa.x.x","Leontodon_hispidus.x.x","Lotus_alpinus.x.x","Lotus_sp.x.x","Pedicularis_verticillata.x.x","Plantago_lanceolata.x.x","Plantago_media.x.x","Potentilla_aurea.x.x","Primula_sp.x.x","Ranunculus_montanus.x.x","Salvia_pratensis.x.x","Silene_vulgaris.x.x","Soldanella_alpina.x.x","Taraxacum_officinale.x.x","Trifolium_badium.x.x","Trifolium_montanum.x.x","Trifolium_pratense.x.x","Trollius_europaeus.x.x","Viola_biflora.x.x","Viola_calcarata.x.x","Viola_sp.x.x","elev_m","Achillea_millefolium.y.y","Alchemilla_conjuncta.y.y","Alchemilla_xanthochlora.y.y","Anthyllis_vulneraria.y.y","Bellis_perennis.y.y","Campanula_scheuchzeri.y.y","Carlina_acaulis.y.y","Crocus_albiflorus.y.y","Euphrasia_minima.y.y","Gentianella_sp.y.y","Helianthemum_nummularium.y.y","Hepatica_nobilis.y.y","Hippocrepis_comosa.y.y","Leontodon_hispidus.y.y","Lotus_alpinus.y.y","Lotus_sp.y.y","Pedicularis_verticillata.y.y","Plantago_lanceolata.y.y","Plantago_media.y.y","Potentilla_aurea.y.y","Primula_sp.y.y","Ranunculus_montanus.y.y","Salvia_pratensis.y.y","Silene_vulgaris.y.y","Soldanella_alpina.y.y","Taraxacum_officinale.y.y","Trifolium_badium.y.y","Trifolium_montanum.y.y","Trifolium_pratense.y.y","Trollius_europaeus.y.y","Viola_biflora.y.y","Viola_calcarata.y.y","Viola_sp.y.y"
"11",538,"below treeline","cam10","open","0",1397,756409,192903,9.49033,46.86885,20,"n",-5,0,11,1161,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",1397,NA,125.8,NA,NA,203.212121212121,NA,NA,187.598393574297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.00872600349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.162904666319,1397,NA,122,NA,NA,137,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,1397,NA,128,NA,NA,271,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,1397,NA,6,NA,NA,134,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
"12",545,"below treeline","cam11","canopy","> 90",1436,756313,193023,9.48912,46.86995,325,"nw",0,40,4,154,"06.04.2022","06.10.2022",NA,"ideal",1436,NA,NA,249.643635045739,239.75,NA,142.132365222863,NA,168.909090909091,150,NA,NA,115.337419672546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.5,181.5,NA,NA,NA,NA,1436,NA,NA,119,196,NA,90,NA,124,145,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,176,NA,NA,NA,NA,1436,NA,NA,284,266,NA,237,NA,237,155,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,187,NA,NA,NA,NA,1436,NA,NA,165,70,NA,147,NA,113,10,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA
"13",534,"below treeline","cam14","open","0",1402,756260,192834,9.48836,46.86826,335,"nw",15,10,21,524,"06.04.2022","06.10.2022","frame adjusted 12 April 2022",NA,1402,NA,188.406619385343,NA,NA,179.04126984127,NA,NA,203.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,1402,NA,118,NA,NA,172,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,1402,NA,275,NA,NA,186,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,1402,NA,157,NA,NA,14,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"14",533,"below treeline","cam16","open","0",1407,756281,192854,9.48864,46.86844,341,"n",-5,12,34,220,"06.04.2022","06.10.2022","frame adjusted 12 April 2022; photo frame says cam 16",NA,1407,NA,242,NA,200.6,NA,195,NA,214.27311827957,241.717514124294,NA,NA,175.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.352941176471,NA,NA,NA,234.571428571429,NA,NA,NA,NA,NA,NA,NA,1407,NA,238,NA,186,NA,190,NA,144,205,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,1407,NA,246,NA,211,NA,200,NA,273,262,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,1407,NA,8,NA,25,NA,10,NA,129,57,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA
"15",543,"below treeline","cam17","canopy","> 90",1430,756260,192967,9.4884,46.86946,253,"n",0,33,12,231,"06.04.2022","06.10.2022",NA,"ideal",1430,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,118.565656565657,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,NA,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",539,"below treeline","cam19","canopy","> 90",1388,756447,192878,9.49082,46.86862,276,"w",-5,15,4,144,"06.04.2022","06.10.2022",NA,"ideal",1388,NA,199.955974842767,251.5,120,NA,NA,NA,222.103896103896,NA,NA,NA,129.860827722031,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388,NA,142,229,118,NA,NA,NA,130,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388,NA,256,274,122,NA,NA,NA,268,NA,NA,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388,NA,114,45,4,NA,NA,NA,138,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",540,"below treeline","cam20","canopy","> 90",1390,756440,192858,9.49073,46.86844,263,"w",-5,21,1,248,"06.04.2022","06.10.2022",NA,"ideal",1390,NA,254.19696969697,NA,196.298850574713,NA,247,NA,186.945692883895,NA,NA,NA,163.692030771945,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.68115942029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,248,NA,181,NA,243,NA,136,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,264,NA,227,NA,251,NA,264,NA,NA,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,16,NA,46,NA,8,NA,128,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",542,"below treeline","cam22","canopy","> 90",1383,756440,192819,9.49071,46.86809,239,"sw",0,21,13,409,"06.04.2022","06.10.2022","frame adjusted 12 April 2022",NA,1383,NA,179.511695906433,115.5,205.141762452107,NA,NA,NA,188.14121006616,NA,NA,NA,152.290151614771,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.5,NA,NA,NA,NA,NA,NA,NA,NA,201.615384615385,NA,NA,1383,NA,109,110,110,NA,NA,NA,96,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,1383,NA,276,121,251,NA,NA,NA,284,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,268,NA,NA,1383,NA,167,11,141,NA,NA,NA,188,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA
"19",532,"below treeline","cam23","open","0",1399,756374,192939,9.48989,46.86918,298,"sw",-5,5,0,560,"06.04.2022","06.10.2022","frame adjusted 27 April 2022; perpendicular incline is estimate based on map location (no entry on datasheet)","might be better closer",1399,NA,266.10156888114,NA,NA,251,183.4,NA,244.024875621891,NA,NA,123.168659220336,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.462042030213,162.390255668114,153.799336650083,NA,127.637530746278,NA,NA,NA,123.702865080279,NA,NA,NA,1399,NA,239,NA,NA,248,154,NA,233,NA,NA,113,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,138,140,NA,111,NA,NA,NA,111,NA,NA,NA,1399,NA,285,NA,NA,254,218,NA,253,NA,NA,131,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,222,166,NA,137,NA,NA,NA,138,NA,NA,NA,1399,NA,46,NA,NA,6,64,NA,20,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,84,26,NA,26,NA,NA,NA,27,NA,NA,NA
"20",544,"below treeline","cam24","canopy","> 90",1431,756270,192981,9.48854,46.86958,300,"nw",-5,31,5,153,"06.04.2022","06.10.2022",NA,"ideal",1431,NA,NA,NA,226.344303731738,NA,106.62962962963,NA,NA,NA,NA,NA,185.995726495727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA,NA,167,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA,NA,284,NA,110,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA,NA,117,NA,10,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
