"","Difference","camera","Species","value1","DOY1","value2","DOY2","value3","DOY3","value4","DOY4","AbundanceEarly","AbundanceLate","EarlySlope","LateSlope","EarlySlopeSTD","LateSlopeSTD","GaussianDOYEarly","GaussianDOYLate","Position","derivative","RelativeAbundance","DOY","FloweringPhotoStart","FloweringPhotoEnd","RelativeAbundanceX","PredictedAbundance"
"16",0,"cam18","Viola_sp",5,139,4,142,1,155,1,156,5,1,-0.333333333333333,0,-0.0666666666666667,0,7,5,"DOYE7",NA,0.00876415024678427,132,0,124,0.0439369336234074,0.219684668117037
"17",0,"cam31","Silene_vulgaris",1,184,1,187,1,272,1,276,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,179,53,3,0.0497870683678639,0.0497870683678639
"18",0,"cam34","Anthyllis_vulneraria",1,178,1,183,2,215,1,216,1,1,0,-1,0,-1,5,7,"DOYE5",NA,0.00876415024678427,173,47,63,0.0497870683678639,0.0497870683678639
"19",0,"cam36","Anthyllis_vulneraria",1,157,1,162,1,157,1,162,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,152,26,86,0.0497870683678639,0.0497870683678639
"20",0,"cam2","Crocus_albiflorus",4,117,10,118,1,266,1,268,4,1,6,0,1.5,0,3,5,"DOYE3",NA,0.00876415024678427,114,0,11,0.135335283236613,0.541341132946451
"21",0,"cam6","Campanula_scheuchzeri",2,134,1,136,2,219,1,220,2,1,-0.5,-1,-0.25,-1,7,7,"DOYE7",NA,0.00876415024678427,127,3,59,0.0439369336234074,0.0878738672468148
"22",0,"cam30","Hepatica_nobilis",1,142,1,143,1,147,1,148,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,137,11,100,0.0497870683678639,0.0497870683678639
"23",0,"cam27","Plantago_media",1,186,1,190,1,205,1,207,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,181,39,72,0.0497870683678639,0.0497870683678639
"24",0,"cam15","Hepatica_nobilis",1,196,1,199,1,260,2,262,1,2,0,0.5,0,0.25,5,3,"DOYE5",NA,0.00876415024678427,191,65,17,0.0497870683678639,0.0497870683678639
"25",0,"cam14","Viola_sp",1,230,1,232,1,230,1,232,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,225,128,47,0.0497870683678639,0.0497870683678639
"26",0,"cam35","Viola_sp",1,142,1,145,1,142,1,145,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,137,11,134,0.0497870683678639,0.0497870683678639
"27",0,"cam15","Viola_sp",1,137,1,138,1,139,1,141,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,132,6,138,0.0497870683678639,0.0497870683678639
"28",0,"cam11","Trifolium_pratense",1,178,1,181,1,183,1,185,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,173,80,95,0.0497870683678639,0.0497870683678639
"29",0,"cam28","Viola_sp",1,203,1,205,1,205,1,206,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,198,72,73,0.0497870683678639,0.0497870683678639
"30",0,"cam25","Trifolium_pratense",1,181,2,186,1,187,1,188,1,1,0.2,0,0.2,0,3,5,"DOYE3",NA,0.00876415024678427,178,64,91,0.135335283236613,0.135335283236613
"31",0,"cam38","Anthyllis_vulneraria",1,150,1,151,1,223,1,226,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,145,19,53,0.0497870683678639,0.0497870683678639
"32",0,"cam6","Anthyllis_vulneraria",1,156,1,157,1,278,1,279,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,151,25,0,0.0497870683678639,0.0497870683678639
"33",0,"cam27","Trifolium_badium",1,170,2,173,1,214,1,215,1,1,0.333333333333333,0,0.333333333333333,0,3,5,"DOYE3",NA,0.00876415024678427,167,23,64,0.135335283236613,0.135335283236613
"34",0,"cam29","Campanula_scheuchzeri",1,148,1,151,1,210,1,213,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,143,17,36,0.0497870683678639,0.0497870683678639
"35",0,"cam15","Anthyllis_vulneraria",1,164,1,192,1,193,1,197,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,159,33,82,0.0497870683678639,0.0497870683678639
"36",0,"cam37","Trifolium_montanum",1,132,1,136,1,191,1,192,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,127,1,87,0.0497870683678639,0.0497870683678639
"37",0,"cam16","Alchemilla_conjuncta",1,240,1,244,1,240,1,244,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,235,137,35,0.0497870683678639,0.0497870683678639
"38",0,"cam18","Plantago_media",1,205,1,207,1,205,1,207,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,200,66,73,0.0497870683678639,0.0497870683678639
"39",0,"cam29","Trifolium_montanum",1,224,1,225,1,224,1,225,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,219,93,24,0.0497870683678639,0.0497870683678639
"40",0,"cam8","Campanula_scheuchzeri",1,183,1,187,1,187,1,190,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,178,86,89,0.0497870683678639,0.0497870683678639
"41",0,"cam2","Taraxacum_officinale",1,183,1,187,1,183,1,187,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,178,66,92,0.0497870683678639,0.0497870683678639
"42",0,"cam37","Soldanella_alpina",1,137,1,141,1,137,1,141,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,132,6,138,0.0497870683678639,0.0497870683678639
"43",0,"cam2","Alchemilla_conjuncta",1,117,1,122,1,117,1,122,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,112,0,157,0.0497870683678639,0.0497870683678639
"44",0,"cam7","Alchemilla_conjuncta",2,143,1,147,1,216,1,217,2,1,-0.25,0,-0.125,0,7,5,"DOYE7",NA,0.00876415024678427,136,46,62,0.0439369336234074,0.0878738672468148
"45",0,"cam23","Taraxacum_officinale",1,118,1,119,4,134,1,135,1,1,0,-3,0,-3,5,7,"DOYE5",NA,0.00876415024678427,113,0,144,0.0497870683678639,0.0497870683678639
"46",0,"cam38","Crocus_albiflorus",1,145,1,146,1,273,1,277,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,140,14,2,0.0497870683678639,0.0497870683678639
"47",0,"cam9","Trifolium_montanum",1,154,1,155,1,154,1,155,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,149,37,60,0.0497870683678639,0.0497870683678639
"48",0,"cam25","Hepatica_nobilis",1,126,1,130,1,126,1,130,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,121,9,149,0.0497870683678639,0.0497870683678639
"49",0,"cam27","Campanula_scheuchzeri",1,178,1,181,1,234,1,237,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,173,31,42,0.0497870683678639,0.0497870683678639
"50",0,"cam21","Achillea_millefolium",1,199,1,200,1,199,1,200,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,194,82,79,0.0497870683678639,0.0497870683678639
"51",0,"cam33","Crocus_albiflorus",1,152,1,154,1,243,4,271,1,4,0,0.107142857142857,0,0.0267857142857143,5,4,"DOYE5",NA,0.00876415024678427,147,21,8,0.0497870683678639,0.0497870683678639
"52",0,"cam18","Anthyllis_vulneraria",2,149,1,151,1,167,1,172,2,1,-0.5,0,-0.25,0,7,5,"DOYE7",NA,0.00876415024678427,142,10,108,0.0439369336234074,0.0878738672468148
"53",0,"cam20","Alchemilla_conjuncta",3,250,1,254,1,261,1,262,3,1,-0.5,0,-0.166666666666667,0,7,5,"DOYE7",NA,0.00876415024678427,243,153,17,0.0439369336234074,0.131810800870222
"54",0,"cam24","Anthyllis_vulneraria",1,169,1,170,2,278,1,279,1,1,0,-1,0,-1,5,7,"DOYE5",NA,0.00876415024678427,164,72,0,0.0497870683678639,0.0497870683678639
"55",0,"cam33","Plantago_media",1,198,3,201,6,205,4,206,1,4,0.666666666666667,-2,0.666666666666667,-0.5,3,7,"DOYE3",NA,0.00876415024678427,195,67,73,0.135335283236613,0.135335283236613
"56",0,"cam15","Alchemilla_xanthochlora",1,230,1,233,2,270,1,273,1,1,0,-0.333333333333333,0,-0.333333333333333,5,7,"DOYE5",NA,0.00876415024678427,225,99,6,0.0497870683678639,0.0497870683678639
"57",0,"cam9","Alchemilla_conjuncta",1,139,1,142,2,197,1,202,1,1,0,-0.2,0,-0.2,5,7,"DOYE5",NA,0.00876415024678427,134,22,13,0.0497870683678639,0.0497870683678639
"58",0,"cam28","Alchemilla_xanthochlora",2,212,1,214,1,250,3,254,2,3,-0.5,0.5,-0.25,0.166666666666667,7,3,"DOYE7",NA,0.00876415024678427,205,81,25,0.0439369336234074,0.0878738672468148
"59",0,"cam5","Alchemilla_conjuncta",1,141,2,167,1,252,1,253,1,1,0.0384615384615385,0,0.0384615384615385,0,4,5,"DOYE4",NA,0.00876415024678427,137,10,26,0.0724397570342515,0.0724397570342515
"60",0,"cam28","Crocus_albiflorus",13,131,66,132,1,192,1,194,13,1,53,0,4.07692307692308,0,3,5,"DOYE3",NA,0.00876415024678427,128,0,85,0.135335283236613,1.75935868207597
"61",0,"cam38","Alchemilla_xanthochlora",1,202,1,227,2,276,2,277,1,2,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,197,71,2,0.0497870683678639,0.0497870683678639
"62",0,"cam21","Trifolium_pratense",1,176,1,177,2,178,2,179,1,2,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,171,59,100,0.0497870683678639,0.0497870683678639
"63",0,"cam18","Alchemilla_conjuncta",3,181,1,183,3,181,1,183,3,1,-1,-1,-0.333333333333333,-1,7,7,"DOYE7",NA,0.00876415024678427,174,42,97,0.0439369336234074,0.131810800870222
"64",0,"cam37","Alchemilla_conjuncta",1,160,1,210,1,213,1,272,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,155,29,7,0.0497870683678639,0.0497870683678639
"65",0,"cam13","Ranunculus_montanus",1,140,3,141,1,181,1,184,1,1,2,0,2,0,3,5,"DOYE3",NA,0.00876415024678427,137,23,95,0.135335283236613,0.135335283236613
"66",0,"cam31","Ranunculus_montanus",6,136,4,137,1,198,1,199,6,1,-2,0,-0.333333333333333,0,7,5,"DOYE7",NA,0.00876415024678427,129,5,80,0.0439369336234074,0.263621601740445
"67",0,"cam32","Alchemilla_xanthochlora",2,172,1,191,1,191,1,193,2,1,-0.0526315789473684,0,-0.0263157894736842,0,6,5,"DOYE6",NA,0.00876415024678427,166,41,86,0.0439369336234074,0.0878738672468148
"68",0,"cam22","Anthyllis_vulneraria",1,112,1,116,1,245,2,249,1,2,0,0.25,0,0.125,5,3,"DOYE5",NA,0.00876415024678427,107,10,30,0.0497870683678639,0.0497870683678639
"69",0,"cam38","Trifolium_pratense",1,154,1,155,1,245,1,249,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,149,23,30,0.0497870683678639,0.0497870683678639
"70",0,"cam25","Anthyllis_vulneraria",2,140,1,141,1,193,1,227,2,1,-1,0,-0.5,0,7,5,"DOYE7",NA,0.00876415024678427,133,23,52,0.0439369336234074,0.0878738672468148
"71",0,"cam25","Ranunculus_montanus",3,139,1,143,1,192,1,195,3,1,-0.5,0,-0.166666666666667,0,7,5,"DOYE7",NA,0.00876415024678427,132,22,84,0.0439369336234074,0.131810800870222
"72",0,"cam21","Crocus_albiflorus",2,117,1,118,4,273,4,274,2,4,-1,0,-0.5,0,7,5,"DOYE7",NA,0.00876415024678427,110,0,5,0.0439369336234074,0.0878738672468148
"73",0,"cam13","Alchemilla_conjuncta",1,141,1,142,5,195,1,196,1,1,0,-4,0,-4,5,7,"DOYE5",NA,0.00876415024678427,136,24,83,0.0497870683678639,0.0497870683678639
"74",0,"cam7","Campanula_scheuchzeri",2,131,1,135,2,131,1,135,2,1,-0.25,-0.25,-0.125,-0.25,7,7,"DOYE7",NA,0.00876415024678427,124,34,144,0.0439369336234074,0.0878738672468148
"75",0,"cam34","Trifolium_montanum",1,140,1,143,1,140,1,143,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,135,9,136,0.0497870683678639,0.0497870683678639
"76",0,"cam28","Alchemilla_conjuncta",1,179,1,182,1,179,1,182,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,174,48,97,0.0497870683678639,0.0497870683678639
"77",0,"cam23","Trollius_europaeus",2,118,2,119,2,133,1,136,2,1,0,-0.333333333333333,0,-0.333333333333333,5,7,"DOYE5",NA,0.00876415024678427,113,0,143,0.0497870683678639,0.0995741367357279
"78",0,"cam34","Viola_sp",1,142,1,143,1,276,1,277,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,137,11,2,0.0497870683678639,0.0497870683678639
"79",0,"cam5","Crocus_albiflorus",1,132,2,134,1,224,1,225,1,1,0.5,0,0.5,0,3,5,"DOYE3",NA,0.00876415024678427,129,1,54,0.135335283236613,0.135335283236613
"80",0,"cam3","Trollius_europaeus",2,126,1,127,2,126,1,127,2,1,-1,-1,-0.5,-1,7,7,"DOYE7",NA,0.00876415024678427,119,8,152,0.0439369336234074,0.0878738672468148
"81",0,"cam32","Leontodon_hispidus",1,172,2,174,1,187,1,188,1,1,0.5,0,0.5,0,3,5,"DOYE3",NA,0.00876415024678427,169,41,91,0.135335283236613,0.135335283236613
"82",0,"cam18","Achillea_millefolium",1,187,1,188,1,194,1,196,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,182,48,84,0.0497870683678639,0.0497870683678639
"83",0,"cam30","Taraxacum_officinale",1,148,1,151,1,152,1,153,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,143,17,95,0.0497870683678639,0.0497870683678639
"84",0,"cam38","Lotus_sp",1,179,1,184,1,184,1,189,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,174,48,90,0.0497870683678639,0.0497870683678639
"85",0,"cam21","Primula_sp",1,137,2,139,1,140,3,141,1,3,0.5,2,0.5,0.666666666666667,3,3,"DOYE3",NA,0.00876415024678427,134,20,138,0.135335283236613,0.135335283236613
"86",0,"cam20","Campanula_scheuchzeri",1,245,1,249,1,245,1,249,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,240,148,30,0.0497870683678639,0.0497870683678639
"87",0,"cam37","Achillea_millefolium",1,201,1,204,1,201,1,204,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,196,70,75,0.0497870683678639,0.0497870683678639
"88",0,"cam25","Viola_sp",1,133,1,134,1,145,2,146,1,2,0,1,0,0.5,5,3,"DOYE5",NA,0.00876415024678427,128,16,133,0.0497870683678639,0.0497870683678639
"89",0,"cam9","Alchemilla_xanthochlora",1,147,1,148,6,167,1,168,1,1,0,-5,0,-5,5,7,"DOYE5",NA,0.00876415024678427,142,30,47,0.0497870683678639,0.0497870683678639
"90",0,"cam9","Campanula_scheuchzeri",1,151,1,152,1,208,1,209,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,146,34,6,0.0497870683678639,0.0497870683678639
"91",0,"cam18","Campanula_scheuchzeri",2,156,1,192,1,211,1,216,2,1,-0.0277777777777778,0,-0.0138888888888889,0,5,5,"DOYE5",NA,0.00876415024678427,151,17,64,0.0497870683678639,0.0995741367357279
"92",0,"cam36","Campanula_scheuchzeri",1,135,1,137,1,212,1,213,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,130,4,35,0.0497870683678639,0.0497870683678639
"93",0,"cam6","Ranunculus_montanus",1,133,1,136,3,191,3,192,1,3,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,128,2,87,0.0497870683678639,0.0497870683678639
"94",0,"cam30","Anthyllis_vulneraria",1,180,2,183,2,230,1,235,1,1,0.333333333333333,-0.2,0.333333333333333,-0.2,3,7,"DOYE3",NA,0.00876415024678427,177,49,13,0.135335283236613,0.135335283236613
"95",0,"cam38","Trifolium_montanum",1,176,1,177,1,200,1,203,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,171,45,76,0.0497870683678639,0.0497870683678639
"96",0,"cam17","Ranunculus_montanus",1,251,1,253,1,258,1,259,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,246,154,20,0.0497870683678639,0.0497870683678639
"97",0,"cam9","Ranunculus_montanus",1,157,1,159,1,183,1,187,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,152,40,28,0.0497870683678639,0.0497870683678639
"98",0,"cam13","Alchemilla_xanthochlora",1,144,1,145,3,277,1,278,1,1,0,-2,0,-2,5,7,"DOYE5",NA,0.00876415024678427,139,27,1,0.0497870683678639,0.0497870683678639
"99",0,"cam25","Campanula_scheuchzeri",1,130,1,131,1,177,1,178,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,125,13,101,0.0497870683678639,0.0497870683678639
"100",0,"cam34","Ranunculus_montanus",1,139,1,140,1,213,1,217,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,134,8,62,0.0497870683678639,0.0497870683678639
"101",0,"cam11","Hepatica_nobilis",3,98,1,99,1,156,1,157,3,1,-2,0,-0.666666666666667,0,7,5,"DOYE7",NA,0.00876415024678427,91,0,123,0.0439369336234074,0.131810800870222
"102",0,"cam11","Crocus_albiflorus",1,126,1,139,1,234,1,235,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,121,28,45,0.0497870683678639,0.0497870683678639
"103",0,"cam28","Anthyllis_vulneraria",1,206,1,211,1,206,1,211,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,201,75,68,0.0497870683678639,0.0497870683678639
"104",0,"cam37","Campanula_scheuchzeri",1,154,2,155,1,168,1,170,1,1,1,0,1,0,3,5,"DOYE3",NA,0.00876415024678427,151,23,109,0.135335283236613,0.135335283236613
"105",0,"cam37","Crocus_albiflorus",1,134,1,135,1,275,1,277,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,129,3,2,0.0497870683678639,0.0497870683678639
"106",0,"cam13","Taraxacum_officinale",1,146,1,155,1,157,1,160,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,141,29,119,0.0497870683678639,0.0497870683678639
"107",0,"cam25","Alchemilla_conjuncta",1,118,1,119,1,119,1,124,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,113,1,155,0.0497870683678639,0.0497870683678639
"108",0,"cam16","Campanula_scheuchzeri",1,192,1,194,1,194,1,198,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,187,89,81,0.0497870683678639,0.0497870683678639
"109",0,"cam16","Anthyllis_vulneraria",1,188,1,189,1,204,1,209,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,183,85,70,0.0497870683678639,0.0497870683678639
"110",0,"cam31","Trifolium_montanum",1,242,1,244,1,273,1,277,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,237,111,2,0.0497870683678639,0.0497870683678639
"111",0,"cam35","Bellis_perennis",2,175,1,176,1,262,1,267,2,1,-1,0,-0.5,0,7,5,"DOYE7",NA,0.00876415024678427,168,44,12,0.0439369336234074,0.0878738672468148
"112",0,"cam22","Hepatica_nobilis",2,103,3,105,1,261,1,262,2,1,0.5,0,0.25,0,3,5,"DOYE3",NA,0.00876415024678427,100,1,17,0.135335283236613,0.270670566473225
"113",0,"cam23","Silene_vulgaris",1,142,1,144,1,163,8,164,1,8,0,7,0,0.875,5,3,"DOYE5",NA,0.00876415024678427,137,24,115,0.0497870683678639,0.0497870683678639
"114",0,"cam13","Anthyllis_vulneraria",2,143,1,144,1,187,4,188,2,4,-1,3,-0.5,0.75,7,3,"DOYE7",NA,0.00876415024678427,136,26,91,0.0439369336234074,0.0878738672468148
"115",0,"cam10","Bellis_perennis",4,139,1,140,2,268,1,269,4,1,-3,-1,-0.75,-1,7,7,"DOYE7",NA,0.00876415024678427,132,21,10,0.0439369336234074,0.17574773449363
"116",0,"cam33","Alchemilla_xanthochlora",1,173,2,175,2,175,1,180,1,1,0.5,-0.2,0.5,-0.2,3,7,"DOYE3",NA,0.00876415024678427,170,42,99,0.135335283236613,0.135335283236613
"117",0,"cam2","Hepatica_nobilis",1,134,1,135,1,134,1,135,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,129,17,144,0.0497870683678639,0.0497870683678639
"118",0,"cam11","Alchemilla_xanthochlora",1,121,1,127,2,278,1,279,1,1,0,-1,0,-1,5,7,"DOYE5",NA,0.00876415024678427,116,23,1,0.0497870683678639,0.0497870683678639
"119",0,"cam26","Crocus_albiflorus",1,120,1,121,1,252,1,253,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,115,2,26,0.0497870683678639,0.0497870683678639
"120",0,"cam37","Carlina_acaulis",1,223,1,224,1,246,1,250,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,218,92,29,0.0497870683678639,0.0497870683678639
"121",0,"cam14","Crocus_albiflorus",1,202,1,204,1,204,1,205,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,197,100,74,0.0497870683678639,0.0497870683678639
"122",0,"cam22","Alchemilla_xanthochlora",1,112,1,114,1,116,1,119,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,107,10,160,0.0497870683678639,0.0497870683678639
"123",0,"cam36","Alchemilla_xanthochlora",1,219,1,227,1,230,2,231,1,2,0,1,0,0.5,5,3,"DOYE5",NA,0.00876415024678427,214,88,17,0.0497870683678639,0.0497870683678639
"124",0,"cam18","Euphrasia_minima",1,155,1,160,1,155,1,160,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,150,16,120,0.0497870683678639,0.0497870683678639
"125",0,"cam15","Ranunculus_montanus",3,135,1,136,2,188,1,189,3,1,-2,-1,-0.666666666666667,-1,7,7,"DOYE7",NA,0.00876415024678427,128,4,90,0.0439369336234074,0.131810800870222
"126",0,"cam7","Euphrasia_minima",1,147,1,151,2,153,1,156,1,1,0,-0.333333333333333,0,-0.333333333333333,5,7,"DOYE5",NA,0.00876415024678427,142,50,123,0.0497870683678639,0.0497870683678639
"127",0,"cam10","Crocus_albiflorus",1,133,2,136,1,266,1,269,1,1,0.333333333333333,0,0.333333333333333,0,3,5,"DOYE3",NA,0.00876415024678427,130,15,10,0.135335283236613,0.135335283236613
"128",0,"cam38","Helianthemum_nummularium",1,177,1,178,1,187,1,188,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,172,46,91,0.0497870683678639,0.0497870683678639
"129",0,"cam33","Trifolium_montanum",1,204,1,206,1,204,1,206,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,199,73,73,0.0497870683678639,0.0497870683678639
"130",0,"cam15","Taraxacum_officinale",1,139,1,141,1,176,1,180,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,134,8,99,0.0497870683678639,0.0497870683678639
"131",0,"cam36","Alchemilla_conjuncta",1,158,2,182,2,182,1,185,1,1,0.0416666666666667,-0.333333333333333,0.0416666666666667,-0.333333333333333,4,7,"DOYE4",NA,0.00876415024678427,154,27,63,0.0724397570342515,0.0724397570342515
"132",0,"cam36","Crocus_albiflorus",3,132,1,133,1,228,1,233,3,1,-2,0,-0.666666666666667,0,7,5,"DOYE7",NA,0.00876415024678427,125,1,15,0.0439369336234074,0.131810800870222
"133",0,"cam25","Achillea_millefolium",1,171,1,172,1,264,1,266,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,166,54,13,0.0497870683678639,0.0497870683678639
"134",0,"cam7","Bellis_perennis",1,106,1,107,1,258,1,260,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,101,9,19,0.0497870683678639,0.0497870683678639
"135",0,"cam33","Leontodon_hispidus",1,180,1,187,1,201,1,204,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,175,49,75,0.0497870683678639,0.0497870683678639
"136",0,"cam10","Alchemilla_conjuncta",1,124,4,126,1,124,4,126,1,4,1.5,1.5,1.5,0.375,3,3,"DOYE3",NA,0.00876415024678427,121,6,153,0.135335283236613,0.135335283236613
"137",0,"cam33","Taraxacum_officinale",1,189,1,190,1,198,1,199,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,184,58,80,0.0497870683678639,0.0497870683678639
